info,info,info,atmosphere,atmosphere,atmosphere,atmosphere,A(X),eA(X),EW_Al,EW_Al
source,index,name,Teff,logg,vt,[Fe/H],Al,Al,6696,6699
L22,0,Sun,5722,4.44,0.9,0,,,39.5,21.5
